22.05.2024 9:44:32.665 CAN2 ID=0x118184FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN1 ID=0x108100FA, D(8)=0x0D-20-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN1 ID=0x108141FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN1 ID=0x108182FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C100FA, D(8)=0x23-34-63-20-26-67-F9-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C141FA, D(8)=0x00-00-00-00-01-00-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C142FA, D(8)=0x00-09-19-5F-00-20-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C143FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C144FA, D(8)=0x04-00-03-20-00-00-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C145FA, D(8)=0x00-03-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C146FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:33.726 CAN2 ID=0x10C187FA, D(8)=0x00-00-04-04-00-00-01-00
22.05.2024 9:44:37.659 CAN1 ID=0x118100FA, D(8)=0x0F-60-03-00-00-00-00-00
22.05.2024 9:44:37.659 CAN1 ID=0x118141FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:37.659 CAN1 ID=0x118142FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:37.659 CAN1 ID=0x118143FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:37.659 CAN1 ID=0x118184FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:38.563 CAN1 ID=0x108100FD, D(8)=0xCC-CC-7F-80-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x108141FD, D(8)=0x07-02-55-55-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x108142FD, D(8)=0x55-55-55-55-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x108143FD, D(8)=0x07-02-55-55-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x108144FD, D(8)=0x55-55-55-55-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x108145FD, D(8)=0x07-02-55-55-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x108146FD, D(8)=0x55-55-55-55-55-55-55-55
22.05.2024 9:44:38.563 CAN1 ID=0x1081C7FD, D(8)=0xBA-50-ED-8F-9C-B5-5B-30
22.05.2024 9:44:38.719 CAN1 ID=0x10C100FA, D(8)=0x23-34-63-20-26-67-F9-00
22.05.2024 9:44:38.719 CAN1 ID=0x10C141FA, D(8)=0x00-00-00-00-01-00-00-00
22.05.2024 9:44:38.719 CAN1 ID=0x10C142FA, D(8)=0x00-09-19-5F-00-20-00-00
22.05.2024 9:44:38.719 CAN1 ID=0x10C143FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:38.719 CAN2 ID=0x108100FA, D(8)=0x8D-20-01-00-00-00-00-01
22.05.2024 9:44:38.719 CAN2 ID=0x108141FA, D(8)=0x01-01-01-00-00-00-00-00
22.05.2024 9:44:38.719 CAN2 ID=0x108182FA, D(8)=0x00-00-00-00-00-00-00-03
22.05.2024 9:44:38.782 CAN1 ID=0x10C144FA, D(8)=0x04-00-03-20-00-00-00-00
22.05.2024 9:44:38.782 CAN1 ID=0x10C145FA, D(8)=0x00-03-00-00-00-00-00-00
22.05.2024 9:44:38.782 CAN1 ID=0x10C146FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:38.782 CAN1 ID=0x10C187FA, D(8)=0x00-00-04-04-00-00-01-00
22.05.2024 9:44:38.782 CAN2 ID=0x108100FD, D(8)=0xCC-CC-7F-80-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x108141FD, D(8)=0x07-02-55-55-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x108142FD, D(8)=0x55-55-55-55-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x108143FD, D(8)=0x07-02-55-55-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x108144FD, D(8)=0x55-55-55-55-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x108145FD, D(8)=0x07-02-55-55-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x108146FD, D(8)=0x55-55-55-55-55-55-55-55
22.05.2024 9:44:38.782 CAN2 ID=0x1081C7FD, D(8)=0xBA-50-ED-8F-9C-B5-5B-30
22.05.2024 9:44:42.651 CAN2 ID=0x118100FA, D(8)=0x0F-60-03-00-00-00-00-00
22.05.2024 9:44:42.651 CAN2 ID=0x118141FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:42.651 CAN2 ID=0x118142FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:42.651 CAN2 ID=0x118143FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:42.651 CAN2 ID=0x118184FA, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:43.711 CAN1 ID=0x108100FA, D(8)=0x0D-21-01-00-00-00-00-01
